eV,H,He,Li,U1,U2,U3,U4,U5
1.038167939,0,0,0,0,0,0,0,0
1.051415793,0,0,0,0,0,0,0,0
1.064832701,0,0,0,0,0,0,0,0
1.078420819,0,0,0,0,0,0,0,0
1.092182333,0,0,0,0,0,0,0,0
1.106119454,0,0,0,0,0,0,0,0
1.120234425,0,0,0,0,0,0,0,0
1.134529513,0,0,0,0,0,0,0,0
1.149007019,0,0,0,0,0,0,0,0
1.163669269,0,0,0,0,0,0,0,0
1.178518621,0,0,0,0,0,0,0,0
1.193557462,0,0,0,0,0,0,0,0
1.208788211,0,0,0,0,0,0,0,0
1.224213317,0,0,0,0,0,0,0,0
1.23983526,0,0,0,0,0,0,0,0
1.255656551,0,0,0,0,0,0,0,0
1.271679734,0,0,0,0,0,0,0,0
1.287907386,0,0,0,0,0,0,0,0
1.304342116,0,0,0,0,0,0,0,0
1.320986567,0,0,0,0,0,0,0,0
1.337843413,0,0,0,0,0,0,0,0
1.354915367,0,0,0,0,0,0,0,0
1.372205172,0,0,0,0,0,0,0,0
1.38971561,0,0,0,0,0,0,0,0
1.407449494,0,0,0,0,0,0,0,0
1.425409677,0,0,0,0,0,0,0,0
1.443599046,0,0,0,0,0,0,0,0
1.462020526,0,0,0,0,0,0,0,0
1.480677079,0,0,0,0,0,0,0,0
1.499571705,0,0,0,0,0,0,0,0
1.518707441,0,0,0,0,0,0,0,0
1.538087365,0,0,0,0,0,0,0,0
1.557714591,0,0,0,0,0,0,0,0
1.577592277,0,0,0,0,0,0,0,0
1.597723619,0,0,0,0,0,0,0,0
1.618111852,0,0,0,0,0,0,0,0
1.638760255,0,0,0,0,0,0,0,0
1.659672149,0,0,0,0,0,0,0,0
1.680850895,0,0,0,0,0,0,0,0
1.702299899,0,0,0,0,0,0,0,0
1.724022609,0,0,0,0,0,0,0,0
1.746022518,0,0,0,0,0,0,0,0
1.768303164,0,0,0,0,0,0,0,0
1.790868129,0,0,0,0,0,0,0,0
1.813721041,0,0,0,0,0,0,0,0
1.836865574,0,0,0,0,0,0,0,0
1.860305451,0,0,0,0,0,0,0,0
1.884044438,0,0,0,0,0,0,0,0
1.908086354,0,0,0,0,0,0,0,0
1.932435065,0,0,0,0,0,0,0,0
1.957094484,0,0,0,0,0,0,0,0
1.982068578,0,0,0,0,0,0,0,0
2.00736136,0,0,0,0,0,0,0,0
2.032976899,0,0,0,0,0,0,0,0
2.058919313,0,0,0,0,0,0,0,0
2.085192773,0,0,0,0,0,0,0,0
2.111801503,0,0,0,0,0,0,0,0
2.138749781,0,0,0,0,0,0,0,0
2.166041942,0,0,0,0,0,0,0,0
2.193682372,0,0,0,0,0,0,0,0
2.221675516,0,0,0,0,0,0,0,0
2.250025876,0,0,0,0,0,0,0,0
2.278738008,0,0,0,0,0,0,0,0
2.30781653,0,0,0,0,0,0,0,0
2.337266118,0,0,0,0,0,0,0,0
2.367091506,0,0,0,0,0,0,0,0
2.39729749,0,0,0,0,0,0,0,0
2.427888926,0,0,0,0,0,0,0,0
2.458870733,0,0,0,0,0,0,0,0
2.490247894,0,0,8.031772737e-315,0,0,0,0,0
2.522025452,0,0,1.37E-304,0,0,0,0,0
2.554208517,0,0,1.58E-294,0,0,0,0,0
2.586802263,0,0,1.23E-284,0,0,0,0,0
2.619811932,0,0,6.50E-275,0,0,0,0,0
2.653242831,0,0,2.32E-265,0,0,0,0,0
2.687100335,0,0,5.63E-256,0,0,0,0,0
2.721389888,0,0,9.23E-247,0,0,0,0,0
2.756117002,0,0,1.02E-237,0,0,0,0,0
2.791287263,0,0,7.70E-229,0,0,0,0,0
2.826906325,0,0,3.92E-220,0,0,0,0,0
2.862979914,0,0,1.35E-211,0,0,0,0,0
2.899513831,0,0,3.15E-203,0,0,0,0,0
2.93651395,0,0,4.97E-195,0,0,0,0,0
2.97398622,0,0,5.31E-187,0,0,0,0,0
3.011936666,0,0,3.84E-179,0,0,0,0,0
3.050371391,0,0,1.88E-171,0,0,3.133778595e-314,0,0
3.089296573,0,0,6.24E-164,0,0,5.28E-304,0,0
3.128718472,0,0,1.40E-156,0,0,6.02E-294,0,0
3.168643426,0,0,2.13E-149,0,0,4.64E-284,0,0
3.209077855,0,0,2.19E-142,0,0,2.43E-274,0,0
